district,rooms,size,level,max_levels,price,street
Юнусабадский,2,61.0,1,4,55000.0, Юнусабад 11-й квартал
Чиланзарский,1,32.0,2,4,28500.0, Чиланзар 4-й квартал
Чиланзарский,3,65.0,4,4,42000.0, Чиланзар 16-й квартал
Учтепинский,3,66.0,2,5,67000.0, Чупон-Ота
Чиланзарский,3,70.0,4,4,46500.0, Чиланзар 5-й квартал
Чиланзарский,3,66.0,4,4,50500.0, Катта козиробод
Учтепинский,3,65.0,1,4,40000.0, Чиланзар 11-й квартал
Яшнободский,1,37.0,5,8,13071.0, 1-й проезд Иззат
Мирзо-Улугбекский,2,69.65,4,9,45188.0, Алтынтепа
Учтепинский,4,88.0,4,5,53000.0, Чиланзар 11-й квартал
Яккасарайский,1,38.0,2,5,25600.0, Кушбеги
Мирабадский,2,61.0,6,9,52000.0, Госпитальный
Мирзо-Улугбекский,2,45.0,3,7,44000.0, Навнихол
Сергелийский,3,69.0,2,9,40000.0, Сергели-VII
Мирзо-Улугбекский,2,55.13,5,9,35226.0, Алтынтепа
Чиланзарский,3,67.0,4,4,54000.0, Чиланзар 8-й квартал
Шайхантахурский,1,38.0,5,5,22500.0, 1-й проезд Генерала Узакова
Мирзо-Улугбекский,2,67.0,2,4,36500.0, Карасу 1-й квартал
Яккасарайский,2,54.0,4,9,40000.0, пр-т Бабура
Чиланзарский,2,58.0,1,9,35000.0, Чиланзар квартал 20А
Мирабадский,4,100.0,5,8,142000.0, Фидокор (Чехова)
Чиланзарский,4,90.0,4,5,52000.0, Мукими
Олмазорский,3,91.0,3,3,85000.0, ул  ХУРРИЯТ 75
Шайхантахурский,4,111.0,7,8,110000.0, 1-й проезд Лабзак
Сергелийский,2,54.0,6,7,36000.0, Сергели 6 А дом 9 кв 53
Яшнободский,3,69.0,5,5,52000.0, жилой комплекс У.М. Шахидов 58-й городок
Юнусабадский,5,107.0,5,5,50000.0, Юнусабад 14-й квартал
Мирзо-Улугбекский,3,80.0,2,5,55000.0, Массив А. Югнакий
Юнусабадский,2,63.0,5,9,42000.0, Юнусабад 4 квартал
Мирабадский,3,74.0,5,16,69000.0, Жемчуг
Яшнободский,2,58.0,5,5,28900.0, 40 лет тузел-3 Франция
Мирзо-Улугбекский,2,62.0,9,9,34000.0, Паркентский
Мирзо-Улугбекский,3,107.0,2,8,85000.0, жилой комплекс Goldhill
Олмазорский,1,40.41,2,4,25000.0, ТашПИ
Чиланзарский,2,54.0,2,4,39000.0, Мирзо Улуғбек метро
Мирзо-Улугбекский,1,40.0,1,4,60000.0, ц-1 Буюк ипак йули (Ц-1)
Мирзо-Улугбекский,2,50.0,1,5,36500.0, Дурмон йули
Яшнободский,3,75.0,5,9,42000.0, Мавлоно Риёзи
Мирзо-Улугбекский,3,84.0,7,8,85000.0, Паркент
Мирзо-Улугбекский,3,117.0,2,5,125000.0, Ирригатор
Мирзо-Улугбекский,3,70.0,5,5,37000.0, Буз-2 (Буз)
Мирзо-Улугбекский,1,47.0,2,9,42000.0, проспект Мустакиллик
Чиланзарский,2,56.0,2,5,36000.0, Чиланзар-17
Чиланзарский,1,42.0,3,9,28000.0, Чиланзар-16
Чиланзарский,2,60.0,5,9,34000.0,
Чиланзарский,1,32.0,2,5,28500.0, Чиланзар-6
Чиланзарский,1,42.0,2,5,28500.0, Чиланзар
Чиланзарский,2,60.0,2,9,34500.0, Чиланзар
Чиланзарский,2,54.0,1,4,34500.0, Чиланзар
Чиланзарский,1,42.0,1,5,25500.0, Чиланзар-9
Чиланзарский,2,60.0,2,9,43500.0, Чиланзар
Мирабадский,2,72.0,7,9,63000.0, Афросиаб (пр-т Косманавтов)
Яшнободский,3,80.0,1,4,39999.0, Городок Авиастроителей-4
Чиланзарский,1,33.0,2,4,24500.0, Кошчинар
Юнусабадский,2,61.0,3,5,41000.0, Улица Янги Юнусобод
Мирзо-Улугбекский,4,187.0,2,5,210000.0, Буюк Ипак Йули
Мирзо-Улугбекский,2,63.0,5,5,36000.0, Карасу 1-й квартал
Олмазорский,2,60.0,5,5,34000.0, Себзар
Чиланзарский,1,29.0,2,4,23000.0, Торговый центр
Мирзо-Улугбекский,2,63.0,5,5,36000.0, Карасу 2-й квартал
Учтепинский,2,48.0,4,5,28500.0, Чиланзар 26-й квартал
Мирзо-Улугбекский,1,11.0,3,9,7500.0, Массив ТТЗ-4
Чиланзарский,2,45.0,4,4,47000.0, Корзинка
Олмазорский,4,122.0,5,5,95000.0, обводная  Нурафшон
Юнусабадский,1,42.0,2,4,44000.0, Киёт
Мирзо-Улугбекский,2,50.0,1,4,45000.0, Шастри
Мирзо-Улугбекский,5,100.0,4,4,48000.0, Феруза-1
Мирзо-Улугбекский,2,60.0,4,4,32000.0, Буюк Ипак йули (Луначарское)
Яккасарайский,2,50.0,2,4,47000.0, Шота Руставели
Мирзо-Улугбекский,3,78.0,5,9,70500.0, Дархан
Яккасарайский,4,164.0,5,6,170000.0, Яккасарой Тойхона 4/5/6 Новастройка Евро 164м2
Мирзо-Улугбекский,2,60.0,3,5,30500.0, Хумаюн
Чиланзарский,1,42.0,2,4,26000.0, Чиланзар
Чиланзарский,3,70.0,4,4,37500.0, Чиланзар-6
Чиланзарский,1,35.0,1,5,26500.0, Метро Мирзо Улугбек
Чиланзарский,2,47.0,2,4,32000.0, Чиланзар-7
Чиланзарский,1,36.0,2,5,26500.0, Чиланзар
Чиланзарский,2,50.0,2,5,34500.0, Чиланзар-10
Чиланзарский,2,52.0,2,4,36500.0, Чиланзар-6
Яшнободский,2,46.0,2,4,24500.0, Оханграбо
Чиланзарский,3,92.0,3,9,42500.0, Чиланзар-8
Чиланзарский,3,70.0,1,4,46000.0, Чиланзар
Юнусабадский,3,70.0,2,4,38500.0, Юнусабад 13-й квартал
Мирзо-Улугбекский,2,60.0,7,8,36000.0, Паркентская (Генерала Петрова)
Мирзо-Улугбекский,2,55.0,3,5,35000.0, Буз 2
Мирзо-Улугбекский,2,63.0,4,9,55500.0, Паркентская (Генерала Петрова)
Яккасарайский,2,89.0,4,12,81772.0, Бабура
Яккасарайский,1,55.0,1,12,50533.0, Бабура
Мирзо-Улугбекский,3,100.0,2,6,119000.0, Ул.Кора Ниязова
Мирзо-Улугбекский,4,208.0,2,3,93000.0, Ахмад Югнаки
Чиланзарский,1,35.0,1,4,23800.0, Учтепинский район массив Чиланзар 11-й квартал
Чиланзарский,2,44.0,3,4,32900.0, Чиланзар 7-й квартал
Янгихаётский,2,61.0,3,7,36000.0, Сергели 9а
Яшнободский,4,100.0,2,9,65000.0, Массив Риёзи
Чиланзарский,1,35.0,1,4,29800.0, Чиланзар 8 квартал
Мирзо-Улугбекский,4,86.0,3,5,63000.0, Газалкент
Мирзо-Улугбекский,3,100.0,1,5,80000.0, Буюк Ипак йули (Луначарское)
Олмазорский,5,110.0,5,5,63500.0, 1-й проезд Чилтугон
Мирабадский,3,75.0,6,9,110000.0, ЦУМ (Ц-7)
Олмазорский,3,70.0,1,5,62000.0," ц-17, ц-18 Себзар (ц-17, ц-18)"
Шайхантахурский,3,70.0,4,5,36999.0, Караташ
Яккасарайский,3,150.0,3,6,170000.0, 1-й проезд Абдуллы Каххара
Сергелийский,2,56.1,7,7,37000.0, 6А
Юнусабадский,4,83.0,3,5,54000.0, Юнусабад 16-й квартал
Учтепинский,2,49.0,4,4,23000.0, Зангиота
Чиланзарский,2,46.0,2,4,38500.0, Чиланзар 8-й квартал
Чиланзарский,2,46.0,4,4,36200.0, Чиланзар 8-й квартал
Чиланзарский,3,68.0,4,4,45000.0, Чиланзар квартал Г9
Чиланзарский,3,65.0,1,5,45000.0, Чиланзар 9-й квартал
Чиланзарский,4,76.0,4,4,43000.0, Чиланзар 9-й квартал
Чиланзарский,1,42.0,2,5,26000.0, Чиланзар 9-й квартал
Чиланзарский,2,55.0,1,4,67000.0, Чиланзар 9-й квартал
Чиланзарский,4,76.0,5,5,45500.0, Чиланзар 9-й квартал
Чиланзарский,2,49.0,2,6,47000.0, Чиланзар 10-й квартал
Чиланзарский,4,80.0,2,4,70000.0, Чиланзар 10-й квартал
Чиланзарский,5,142.0,5,5,120000.0, Чиланзар 10-й квартал
Чиланзарский,3,60.0,3,4,44000.0, Чиланзар 7-й квартал
Мирзо-Улугбекский,3,72.0,4,5,47000.0, Аккурган
Мирабадский,4,115.0,6,9,84000.0, 7-й проезд Мироншаха
Яшнободский,4,100.0,2,3,77000.0, 1-й переулок Бойкургон
Мирзо-Улугбекский,2,63.0,5,5,35000.0, Карасу 1-й квартал
Мирзо-Улугбекский,3,66.0,3,5,56000.0, Сайрам
Мирзо-Улугбекский,3,70.0,5,5,46500.0, Аккурган
Мирзо-Улугбекский,3,62.0,5,5,35000.0, Буз-1 (Буз базар)
Чиланзарский,2,50.0,1,4,34000.0, Чиланзар 17-й квартал
Юнусабадский,3,78.0,4,4,56000.0, Минор
Мирабадский,2,62.0,2,9,63000.0, Госпитальный
Мирабадский,8,350.0,2,12,260000.0, Нукус
Яшнободский,3,63.0,4,4,40000.0, 2-й проезд Авиасозлар
Мирзо-Улугбекский,4,91.0,1,5,75000.0, Карасу 3-й квартал
Шайхантахурский,3,81.0,6,9,54900.0, Караташ
Мирзо-Улугбекский,4,86.0,3,4,42000.0, Феруза-1
Мирзо-Улугбекский,2,54.0,3,5,54500.0, Аккурган
Мирабадский,3,90.0,3,5,105000.0, 7-й проезд Мироншаха
Мирзо-Улугбекский,2,40.0,2,5,37000.0, Буюк Ипак йули (Луначарское)
Юнусабадский,1,45.0,5,5,24000.0, Юнусабад 10-й квартал
Олмазорский,3,89.55,7,9,40000.0, Малая кольцевая дорога
Мирзо-Улугбекский,4,92.0,3,5,67000.0, Карасу 1-й квартал
Яккасарайский,3,100.0,3,4,1000.0, Нукус
Мирзо-Улугбекский,4,95.0,1,4,77000.0, Феруза-1
Мирзо-Улугбекский,4,102.0,4,9,65000.0, Карасу 6-й квартал
Олмазорский,2,65.0,5,9,31300.0, Каракамыш-2/3
Мирзо-Улугбекский,2,62.0,5,5,33500.0, Буюк Ипак йули (Луначарское)
Олмазорский,2,56.0,3,5,38500.0, Каракамыш-2/4
Мирзо-Улугбекский,2,59.0,2,8,41500.0, 2-й Паркентский проезд
Чиланзарский,3,96.0,6,9,64500.0, Чиланзар 19-й квартал
Яшнободский,1,37.0,4,8,13075.0, 2-й проезд Иззат
